RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM568,,C02 - D104,C02 - VF ACQUISITION D104,,,15,-2.6,50,76,0.16,0.59,22,-2,11,8,15,0.34,0.07,5,-0.04,0.03,165,47
PM569,,C02 - D172,C02 - VF SILVER BOW D172,,,13,-1.2,62,98,0.22,0.91,22,-2,12,8,15,0.34,0.06,14,0.02,0.02,174,49
PM570,,C02 - D706,C02 - DOING RIGHT,,,13,-2.2,50,77,0.17,0.44,24,-4,9,7,15,0.3,0.06,4,-0.17,0.01,166,47
PM571,,C02 - 3036,C02 - WOOD EMMETT 3036,,,17,-3.1,50,74,0.15,0.72,21,-2,9,10,16,0.24,0.07,3,-0.14,0.02,169,45
PM572,,C02 - 2385,C02 - ODOHERTY   2385,,,13,-1.5,57,84,0.17,0.92,23,-4,7,7,15,0.2,0.05,3,-0.19,0.01,153,46
PM573,,C02 - 8355,C02 - FEDDES LIBERATION D108- 8355,,,14,-2.1,57,88,0.2,0.98,24,-4,9,8,16,0.47,0.09,13,-0.14,0.01,174,48
PM574,,C02 - 8269,C02 - FEDDES DEFENDER Y17-8269,,,15,-2,56,85,0.18,1.1,22,-4,11,8,16,0.45,0.05,1,-0.1,0.02,179,47
PM575,,C44 - D104,C44 - VF ACQUISITION D104,,,13,-1.4,48,73,0.15,0.5,21,-2,11,7,17,0.34,0.06,7,-0.01,0.03,178,47
PM576,,C44 - D172,C44 - VF SILVER BOW D172,,,11,-0.1,60,95,0.22,0.82,21,-1,12,7,17,0.34,0.05,15,0.05,0.02,186,49
PM577,,C44 - D706,C44 - DOING RIGHT,,,11,-0.9,48,75,0.16,0.36,23,-4,10,6,18,0.3,0.06,5,-0.14,0.01,179,47
PM578,,C44 - 3036,C44 - WOOD EMMETT 3036,,,15,-1.9,48,71,0.14,0.63,20,-1,9,9,18,0.24,0.06,5,-0.11,0.02,182,45
PM579,,C44 - 2385,C44 - ODOHERTY   2385,,,11,-0.4,55,81,0.16,0.83,22,-3,7,6,17,0.2,0.05,5,-0.16,0,166,46
PM580,,C44 - 8355,C44 - FEDDES LIBERATION D108- 8355,,,12,-0.9,55,86,0.19,0.89,23,-3,9,7,18,0.47,0.08,15,-0.11,0.01,187,48
PM581,,C44 - 8269,C44 - FEDDES DEFENDER Y17-8269,,,13,-0.8,55,82,0.17,1.01,21,-3,12,7,19,0.45,0.04,3,-0.07,0.02,192,47
PM582,,C74 - D104,C74 - VF ACQUISITION D104,,,14,-2,54,80,0.16,0.7,20,-2,11,7,18,0.31,0.06,4,-0.04,0.02,189,47
PM583,,C74 - D172,C74 - VF SILVER BOW D172,,,12,-0.6,66,103,0.23,1.02,20,-1,12,7,18,0.32,0.05,13,0.02,0.01,198,49
PM584,,C74 - D706,C74 - DOING RIGHT,,,13,-1.5,54,82,0.17,0.56,22,-4,10,6,19,0.28,0.05,3,-0.17,0.01,190,47
PM585,,C74 - 3036,C74 - WOOD EMMETT 3036,,,16,-2.5,54,78,0.15,0.83,19,-1,9,9,19,0.22,0.06,3,-0.14,0.01,193,45
PM586,?,C74 - 2385,C74 - ODOHERTY   2385,,,12,-1,61,88,0.17,1.03,21,-3,8,6,18,0.19,0.05,2,-0.19,0,177,46
PM587,,C74 - 8355,C74 - FEDDES LIBERATION D108- 8355,,,13,-1.5,61,93,0.2,1.09,22,-3,9,7,19,0.44,0.08,12,-0.14,0.01,198,48
PM588,,C74 - 8269,C74 - FEDDES DEFENDER Y17-8269,,,14,-1.4,60,89,0.18,1.21,20,-3,12,7,19,0.44,0.04,1,-0.1,0.01,203,47
PM589,,C77 - D104,C77 - VF ACQUISITION D104,,,14,-1.4,59,88,0.18,0.68,18,-2,12,8,19,0.32,0.06,5,-0.02,0.03,203,48
PM590,,C77 - D172,C77 - VF SILVER BOW D172,,,12,0,71,111,0.25,0.99,18,-1,13,8,19,0.33,0.05,13,0.03,0.01,211,50
PM591,,C77 - D706,C77 - DOING RIGHT,,,13,-0.9,59,90,0.19,0.53,20,-4,10,7,19,0.29,0.05,3,-0.15,0.01,203,49
PM592,,C77 - 3036,C77 - WOOD EMMETT 3036,,,16,-1.8,59,86,0.17,0.81,17,-1,10,10,19,0.23,0.06,3,-0.12,0.02,206,47
PM593,,C77 - 2385,C77 - ODOHERTY   2385,,,12,-0.3,66,96,0.19,1,19,-3,8,8,19,0.19,0.04,3,-0.18,0,190,47
PM594,,C77 - 8355,C77 - FEDDES LIBERATION D108- 8355,,,13,-0.9,66,101,0.22,1.06,19,-3,10,8,20,0.46,0.08,13,-0.12,0.01,211,50
PM595,,C77 - 8269,C77 - FEDDES DEFENDER Y17-8269,,,14,-0.8,65,97,0.2,1.19,18,-3,12,8,20,0.44,0.04,1,-0.09,0.01,216,49
PM596,,C14 - D104,C14 - VF ACQUISITION D104,,,16,-3.3,48,72,0.15,0.57,20,-2,11,8,16,0.33,0.07,5,-0.05,0.03,178,46
PM597,,C14 - D172,C14 - VF SILVER BOW D172,,,14,-2,60,94,0.21,0.88,20,-1,12,9,16,0.33,0.06,14,0.01,0.02,187,49
PM598,,C14 - D706,C14 - DOING RIGHT,,,15,-2.8,48,73,0.16,0.42,22,-4,9,8,17,0.3,0.06,3,-0.18,0.01,179,47
PM599,,C14 - 3036,C14 - WOOD EMMETT 3036,,,18,-3.8,48,70,0.14,0.7,19,-1,9,10,17,0.23,0.07,3,-0.15,0.02,182,45
PM600,,C14 - 2385,C14 - ODOHERTY   2385,,,14,-2.2,55,80,0.16,0.89,21,-3,7,8,16,0.2,0.05,3,-0.2,0,166,46
PM601,,C14 - 8355,C14 - FEDDES LIBERATION D108- 8355,,,15,-2.8,55,85,0.18,0.95,21,-3,9,8,17,0.46,0.09,13,-0.15,0.01,187,48
PM602,,C14 - 8269,C14 - FEDDES DEFENDER Y17-8269,,,16,-2.7,54,81,0.17,1.08,20,-3,11,9,18,0.45,0.05,1,-0.11,0.02,192,47
PM603,,C28 - D104,C28 - VF ACQUISITION D104,,,15,-2.3,50,74,0.15,0.58,20,-2,11,8,17,0.32,0.06,5,-0.04,0.03,180,47
PM604,,C28 - D172,C28 - VF SILVER BOW D172,,,13,-1,62,96,0.22,0.89,20,-1,12,9,17,0.33,0.05,14,0.02,0.02,189,49
PM605,,C28 - D706,C28 - DOING RIGHT,,,14,-1.9,49,75,0.16,0.43,22,-4,9,7,17,0.29,0.06,4,-0.17,0.01,181,47
PM606,,C28 - 3036,C28 - WOOD EMMETT 3036,,,17,-2.8,50,72,0.14,0.71,19,-1,9,10,17,0.23,0.06,3,-0.14,0.02,184,45
PM607,,C28 - 2385,C28 - ODOHERTY   2385,,,13,-1.3,56,82,0.16,0.9,21,-3,7,8,17,0.19,0.05,3,-0.19,0,168,46
PM608,,C28 - 8355,C28 - FEDDES LIBERATION D108- 8355,,,14,-1.9,56,86,0.19,0.96,22,-3,9,8,18,0.46,0.08,13,-0.14,0.01,189,48
PM609,,C28 - 8269,C28 - FEDDES DEFENDER Y17-8269,,,15,-1.8,56,83,0.17,1.09,20,-3,11,8,18,0.44,0.04,1,-0.1,0.02,194,47
PM610,,C47 - D104,C47 - VF ACQUISITION D104,,,13,-1.3,51,77,0.17,0.55,24,-2,11,7,18,0.34,0.06,6,-0.01,0.03,190,47
PM611,,C47 - D172,C47 - VF SILVER BOW D172,,,11,0.1,63,99,0.23,0.87,24,-1,13,8,18,0.34,0.05,15,0.05,0.02,198,50
PM612,,C47 - D706,C47 - DOING RIGHT,,,11,-0.8,50,79,0.18,0.4,26,-3,10,6,19,0.3,0.06,5,-0.14,0.01,191,48
PM613,,C47 - 3036,C47 - WOOD EMMETT 3036,,,14,-1.8,51,75,0.15,0.68,22,-1,9,9,19,0.24,0.06,4,-0.11,0.02,194,46
PM614,,C47 - 2385,C47 - ODOHERTY   2385,,,11,-0.2,57,85,0.18,0.87,24,-3,8,7,18,0.2,0.05,4,-0.16,0.01,178,46
PM615,,C47 - 8355,C47 - FEDDES LIBERATION D108- 8355,,,12,-0.8,57,90,0.2,0.94,25,-3,9,7,20,0.47,0.08,14,-0.11,0.01,198,49
PM616,,C47 - 8269,C47 - FEDDES DEFENDER Y17-8269,,,13,-0.7,57,86,0.18,1.06,23,-3,12,7,20,0.45,0.04,3,-0.07,0.02,204,48
PM617,,C24 - D104,C24 - VF ACQUISITION D104,,,16,-3.2,50,74,0.15,0.61,21,-2,11,9,16,0.32,0.07,5,-0.05,0.03,174,46
PM618,,C24 - D172,C24 - VF SILVER BOW D172,,,14,-1.8,62,97,0.22,0.92,21,-1,12,9,16,0.33,0.06,13,0.01,0.02,182,49
PM619,,C24 - D706,C24 - DOING RIGHT,,,15,-2.7,50,76,0.16,0.46,23,-4,9,8,16,0.29,0.06,3,-0.18,0.01,175,47
PM620,,C24 - 3036,C24 - WOOD EMMETT 3036,,,18,-3.6,50,72,0.14,0.73,20,-1,9,11,16,0.23,0.07,3,-0.16,0.02,178,45
PM621,,C24 - 2385,C24 - ODOHERTY   2385,,,14,-2.1,56,82,0.16,0.93,22,-3,7,8,16,0.19,0.05,3,-0.2,0,162,46
PM622,,C24 - 8355,C24 - FEDDES LIBERATION D108- 8355,,,15,-2.7,56,87,0.19,0.99,22,-3,9,9,17,0.46,0.09,13,-0.16,0.01,183,48
PM623,,C24 - 8269,C24 - FEDDES DEFENDER Y17-8269,,,16,-2.5,56,83,0.17,1.12,21,-3,11,9,17,0.44,0.05,1,-0.11,0.02,188,47
PM624,,C49 - D104,C49 - VF ACQUISITION D104,,,14,-2.2,50,74,0.15,0.52,18,-2,11,7,19,0.32,0.06,5,-0.04,0.02,192,47
PM625,,C49 - D172,C49 - VF SILVER BOW D172,,,13,-0.8,62,96,0.21,0.83,18,-1,12,8,18,0.32,0.05,13,0.02,0.01,200,49
PM626,,C49 - D706,C49 - DOING RIGHT,,,13,-1.7,50,76,0.16,0.37,20,-4,10,6,19,0.28,0.05,3,-0.17,0.01,193,47
PM627,,C49 - 3036,C49 - WOOD EMMETT 3036,,,16,-2.6,50,72,0.14,0.64,16,-1,9,9,19,0.22,0.06,3,-0.14,0.01,196,45
PM628,,C49 - 2385,C49 - ODOHERTY   2385,,,13,-1.1,57,82,0.16,0.84,18,-3,8,7,18,0.19,0.05,3,-0.19,0,180,46
PM629,,C49 - 8355,C49 - FEDDES LIBERATION D108- 8355,,,13,-1.7,57,87,0.19,0.9,19,-3,9,7,20,0.45,0.08,13,-0.14,0.01,201,48
PM630,,C49 - 8269,C49 - FEDDES DEFENDER Y17-8269,,,14,-1.5,56,83,0.17,1.03,17,-3,12,7,20,0.44,0.04,1,-0.1,0.01,206,47
PM631,,C32 - D104,C32 - VF ACQUISITION D104,,,15,-2,51,77,0.16,0.65,22,-2,11,9,16,0.34,0.07,5,-0.04,0.03,179,47
PM632,,C32 - D172,C32 - VF SILVER BOW D172,,,13,-0.7,63,100,0.23,0.96,22,-1,12,9,16,0.34,0.06,14,0.02,0.02,188,49
PM633,,C32 - D706,C32 - DOING RIGHT,,,13,-1.6,51,79,0.17,0.5,24,-4,10,8,17,0.3,0.06,3,-0.17,0.01,180,48
PM634,,C32 - 3036,C32 - WOOD EMMETT 3036,,,16,-2.5,51,75,0.15,0.78,21,-1,9,11,17,0.24,0.07,3,-0.14,0.02,183,46
PM635,,C32 - 2385,C32 - ODOHERTY   2385,,,13,-1,58,86,0.17,0.97,23,-3,7,8,16,0.2,0.05,3,-0.19,0.01,167,46
PM636,,C32 - 8355,C32 - FEDDES LIBERATION D108- 8355,,,14,-1.6,58,90,0.2,1.03,23,-3,9,9,18,0.47,0.09,13,-0.14,0.01,188,48
PM637,,C32 - 8269,C32 - FEDDES DEFENDER Y17-8269,,,15,-1.5,57,86,0.18,1.16,22,-3,12,9,18,0.45,0.05,1,-0.1,0.02,193,48
PM638,,C17 - D104,C17 - VF ACQUISITION D104,,,15,-2.6,54,81,0.17,0.69,20,-3,11,8,16,0.34,0.07,5,-0.04,0.03,177,47
PM639,,C17 - D172,C17 - VF SILVER BOW D172,,,14,-1.2,66,103,0.23,1.01,20,-2,12,9,16,0.35,0.06,13,0.02,0.02,186,50
PM640,,C17 - D706,C17 - DOING RIGHT,,,14,-2.2,54,82,0.18,0.55,22,-5,10,8,16,0.31,0.06,3,-0.17,0.01,178,48
PM641,,C17 - 3036,C17 - WOOD EMMETT 3036,,,17,-3.1,54,79,0.16,0.82,19,-2,9,10,16,0.25,0.07,3,-0.14,0.02,181,46
PM642,,C17 - 2385,C17 - ODOHERTY   2385,,,14,-1.5,61,89,0.18,1.02,21,-4,7,8,16,0.22,0.05,3,-0.19,0.01,165,46
PM643,,C17 - 8355,C17 - FEDDES LIBERATION D108- 8355,,,14,-2.1,61,93,0.2,1.08,21,-4,9,8,17,0.48,0.09,13,-0.14,0.01,186,49
PM644,,C17 - 8269,C17 - FEDDES DEFENDER Y17-8269,,,15,-2,60,90,0.19,1.2,20,-4,12,9,17,0.46,0.05,1,-0.1,0.02,191,48
PM645,,D19 - D104,D19 - VF ACQUISITION D104,,,18,-3.9,45,67,0.14,0.47,21,-2,11,10,16,0.35,0.07,5,0,0.03,183,46
PM646,,D19 - D172,D19 - VF SILVER BOW D172,,,16,-2.5,57,89,0.21,0.78,21,-1,13,11,16,0.35,0.06,14,0.05,0.02,191,49
PM647,,D19 - D706,D19 - DOING RIGHT,,,16,-3.4,44,69,0.15,0.32,23,-4,10,9,17,0.31,0.06,4,-0.14,0.02,184,47
PM648,,D19 - 3036,D19 - WOOD EMMETT 3036,,,19,-4.4,45,65,0.13,0.59,20,-1,9,12,17,0.25,0.07,3,-0.11,0.02,187,45
PM649,,D19 - 2385,D19 - ODOHERTY   2385,,,16,-2.8,51,75,0.15,0.79,22,-3,8,10,16,0.22,0.06,3,-0.16,0.01,171,45
PM650,,D19 - 8355,D19 - FEDDES LIBERATION D108- 8355,,,17,-3.4,51,80,0.18,0.85,22,-3,9,10,17,0.48,0.09,13,-0.11,0.01,191,48
PM651,,D19 - 8269,D19 - FEDDES DEFENDER Y17-8269,,,18,-3.3,51,76,0.16,0.98,21,-3,12,10,17,0.47,0.05,2,-0.07,0.02,197,47
PM652,,D39 - D104,D39 - VF ACQUISITION D104,,,17,-3.8,47,70,0.14,0.51,19,-1,12,9,17,0.34,0.07,5,-0.02,0.03,185,46
PM653,,D39 - D172,D39 - VF SILVER BOW D172,,,15,-2.5,59,92,0.21,0.83,19,0,13,10,16,0.34,0.06,14,0.03,0.02,193,49
PM654,,D39 - D706,D39 - DOING RIGHT,,,16,-3.3,47,71,0.15,0.36,21,-3,10,8,17,0.31,0.07,4,-0.15,0.02,185,47
PM655,,D39 - 3036,D39 - WOOD EMMETT 3036,,,19,-4.3,47,68,0.13,0.64,18,0,10,11,17,0.25,0.07,3,-0.12,0.02,188,45
PM656,,D39 - 2385,D39 - ODOHERTY   2385,,,15,-2.8,53,78,0.15,0.84,20,-2,8,9,17,0.21,0.06,3,-0.18,0.01,172,45
PM657,,D39 - 8355,D39 - FEDDES LIBERATION D108- 8355,,,16,-3.3,54,82,0.18,0.9,21,-2,10,9,18,0.47,0.09,13,-0.12,0.01,193,48
PM658,,D39 - 8269,D39 - FEDDES DEFENDER Y17-8269,,,17,-3.2,53,79,0.16,1.02,19,-2,12,9,18,0.46,0.05,1,-0.09,0.02,198,47
PM659,,D33 - D104,D33 - VF ACQUISITION D104,,,15,-2.5,50,74,0.15,0.57,20,-2,11,7,16,0.33,0.07,5,-0.05,0.03,173,47
PM660,,D33 - D172,D33 - VF SILVER BOW D172,,,13,-1.1,61,96,0.22,0.89,20,-1,12,8,16,0.33,0.06,14,0.01,0.02,181,49
PM661,,D33 - D706,D33 - DOING RIGHT,,,13,-2,49,75,0.16,0.42,22,-4,9,7,17,0.3,0.06,3,-0.18,0.01,173,47
PM662,,D33 - 3036,D33 - WOOD EMMETT 3036,,,16,-3,50,72,0.14,0.7,19,-1,9,9,17,0.23,0.07,3,-0.15,0.02,176,45
PM663,,D33 - 2385,D33 - ODOHERTY   2385,,,13,-1.5,56,82,0.16,0.89,21,-3,7,7,16,0.2,0.05,3,-0.2,0,160,46
PM664,,D33 - 8355,D33 - FEDDES LIBERATION D108- 8355,,,14,-2,56,87,0.19,0.96,21,-3,9,7,17,0.46,0.09,13,-0.15,0.01,181,48
PM665,,D33 - 8269,D33 - FEDDES DEFENDER Y17-8269,,,15,-1.9,56,83,0.17,1.08,20,-3,11,7,17,0.45,0.05,1,-0.11,0.02,186,47
PM666,,D10 - D104,D10 - VF ACQUISITION D104,,,17,-3.3,46,69,0.14,0.59,18,-1,12,9,17,0.35,0.07,5,-0.01,0.03,190,46
PM667,,D10 - D172,D10 - VF SILVER BOW D172,,,15,-2,58,91,0.21,0.9,18,0,13,10,17,0.35,0.06,14,0.05,0.02,198,48
PM668,,D10 - D706,D10 - DOING RIGHT,,,15,-2.9,46,70,0.15,0.44,20,-3,11,9,18,0.31,0.07,4,-0.14,0.02,191,47
PM669,,D10 - 3036,D10 - WOOD EMMETT 3036,,,19,-3.8,46,67,0.13,0.72,17,0,10,11,18,0.25,0.07,3,-0.11,0.02,194,45
PM670,,D10 - 2385,D10 - ODOHERTY   2385,,,15,-2.3,53,77,0.15,0.91,19,-2,8,9,17,0.22,0.06,3,-0.16,0.01,178,45
PM671,,D10 - 8355,D10 - FEDDES LIBERATION D108- 8355,,,16,-2.8,53,81,0.18,0.97,20,-2,10,9,18,0.48,0.09,13,-0.11,0.01,199,47
PM672,,D10 - 8269,D10 - FEDDES DEFENDER Y17-8269,,,17,-2.8,52,78,0.16,1.1,18,-3,13,10,19,0.47,0.05,2,-0.07,0.02,204,47
PM673,,D23 - D104,D23 - VF ACQUISITION D104,,,17,-3.2,46,69,0.14,0.5,21,-2,12,9,17,0.36,0.07,5,0,0.03,188,46
PM674,,D23 - D172,D23 - VF SILVER BOW D172,,,15,-1.9,57,91,0.21,0.81,21,-1,13,10,17,0.37,0.06,14,0.05,0.02,196,49
PM675,,D23 - D706,D23 - DOING RIGHT,,,15,-2.8,45,70,0.15,0.35,23,-4,11,9,17,0.32,0.07,4,-0.14,0.02,189,47
PM676,,D23 - 3036,D23 - WOOD EMMETT 3036,,,18,-3.8,46,67,0.13,0.62,20,-1,10,11,18,0.26,0.07,3,-0.11,0.02,192,45
PM677,,D23 - 2385,D23 - ODOHERTY   2385,,,15,-2.2,52,77,0.15,0.82,22,-3,8,9,17,0.23,0.06,3,-0.16,0.01,176,46
PM678,,D23 - 8355,D23 - FEDDES LIBERATION D108- 8355,,,16,-2.8,52,81,0.18,0.88,22,-3,10,9,18,0.49,0.09,13,-0.11,0.02,196,48
PM679,,D23 - 8269,D23 - FEDDES DEFENDER Y17-8269,,,17,-2.7,52,77,0.16,1.01,20,-3,13,10,18,0.48,0.05,1,-0.07,0.02,202,47
PM680,,E09 - D104,E09 - VF ACQUISITION D104,,,16,-3.1,52,76,0.16,0.6,19,-1,11,7,18,0.31,0.06,5,-0.05,0.02,189,47
PM681,,E09 - D172,E09 - VF SILVER BOW D172,,,14,-1.7,64,99,0.22,0.92,19,-1,12,8,18,0.32,0.05,13,0.01,0.01,197,49
PM682,,E09 - D706,E09 - DOING RIGHT,,,14,-2.6,51,78,0.17,0.45,21,-3,10,7,18,0.28,0.05,3,-0.18,0.01,189,47
PM683,,E09 - 3036,E09 - WOOD EMMETT 3036,,,17,-3.5,52,74,0.14,0.73,18,-1,9,9,18,0.22,0.06,3,-0.15,0.01,192,45
PM684,,E09 - 2385,E09 - ODOHERTY   2385,,,14,-2,58,85,0.17,0.92,20,-3,8,7,18,0.19,0.05,3,-0.2,0,176,46
PM685,,E09 - 8355,E09 - FEDDES LIBERATION D108- 8355,,,14,-2.6,58,89,0.19,0.98,21,-3,9,7,19,0.44,0.08,13,-0.15,0.01,197,48
PM686,,E09 - 8269,E09 - FEDDES DEFENDER Y17-8269,,,15,-2.5,58,85,0.17,1.11,19,-3,12,8,19,0.44,0.04,1,-0.11,0.01,202,47
PM687,,E15 - D104,E15 - VF ACQUISITION D104,,,17,-3.5,53,79,0.16,0.66,20,-1,12,9,17,0.36,0.08,5,-0.03,0.03,197,47
PM688,,E15 - D172,E15 - VF SILVER BOW D172,,,15,-2.2,65,101,0.23,0.97,21,0,14,10,17,0.37,0.07,13,0.02,0.02,205,49
PM689,,E15 - D706,E15 - DOING RIGHT,,,16,-3,53,80,0.17,0.51,23,-3,11,9,18,0.32,0.07,3,-0.16,0.02,197,48
PM690,,E15 - 3036,E15 - WOOD EMMETT 3036,,,19,-4,53,77,0.15,0.79,19,0,10,11,18,0.26,0.08,3,-0.14,0.02,200,46
PM691,,E15 - 2385,E15 - ODOHERTY   2385,,,15,-2.5,59,87,0.17,0.98,21,-2,9,9,17,0.23,0.07,3,-0.19,0.01,184,46
PM692,,E15 - 8355,E15 - FEDDES LIBERATION D108- 8355,,,16,-3,59,91,0.2,1.04,22,-2,10,9,19,0.49,0.1,13,-0.14,0.02,205,48
PM693,,E15 - 8269,E15 - FEDDES DEFENDER Y17-8269,,,17,-2.9,59,88,0.18,1.17,20,-3,13,10,19,0.48,0.06,1,-0.09,0.02,210,48
PM694,,E19 - D104,E19 - VF ACQUISITION D104,,,15,-2.3,53,78,0.16,0.62,20,-2,11,7,18,0.32,0.06,5,-0.05,0.03,188,47
PM695,,E19 - D172,E19 - VF SILVER BOW D172,,,13,-0.9,65,101,0.22,0.93,20,-1,13,8,18,0.33,0.05,13,0.01,0.01,197,49
PM696,,E19 - D706,E19 - DOING RIGHT,,,13,-1.8,52,80,0.17,0.47,22,-4,10,7,18,0.29,0.06,3,-0.18,0.01,189,48
PM697,,E19 - 3036,E19 - WOOD EMMETT 3036,,,16,-2.8,53,76,0.15,0.75,18,-1,10,9,18,0.23,0.07,3,-0.16,0.02,192,46
PM698,,E19 - 2385,E19 - ODOHERTY   2385,,,13,-1.2,59,86,0.17,0.94,20,-3,8,7,18,0.19,0.05,3,-0.2,0,176,46
PM699,,E19 - 8355,E19 - FEDDES LIBERATION D108- 8355,,,14,-1.8,59,91,0.2,1,21,-3,9,7,19,0.46,0.08,13,-0.16,0.01,197,48
PM700,,E19 - 8269,E19 - FEDDES DEFENDER Y17-8269,,,15,-1.7,59,87,0.18,1.13,19,-3,12,8,19,0.44,0.05,1,-0.11,0.01,202,47
PM701,,E29 - D104,E29 - VF ACQUISITION D104,,,17,-3.2,49,73,0.15,0.56,21,-1,12,10,18,0.36,0.07,5,-0.02,0.03,196,47
PM702,,E29 - D172,E29 - VF SILVER BOW D172,,,15,-1.8,61,96,0.22,0.87,21,-1,13,10,18,0.37,0.06,13,0.04,0.02,205,49
PM703,,E29 - D706,E29 - DOING RIGHT,,,15,-2.7,48,75,0.16,0.41,23,-3,11,9,18,0.32,0.07,3,-0.15,0.02,197,47
PM704,,E29 - 3036,E29 - WOOD EMMETT 3036,,,19,-3.6,49,71,0.14,0.68,20,-1,10,12,18,0.26,0.07,3,-0.12,0.02,200,45
PM705,,E29 - 2385,E29 - ODOHERTY   2385,,,15,-2.1,55,81,0.16,0.88,22,-2,8,9,18,0.23,0.06,3,-0.17,0.01,184,46
PM706,,E29 - 8355,E29 - FEDDES LIBERATION D108- 8355,,,16,-2.7,55,86,0.19,0.94,23,-3,10,10,19,0.49,0.09,13,-0.12,0.02,205,48
PM707,,E29 - 8269,E29 - FEDDES DEFENDER Y17-8269,,,17,-2.5,55,82,0.17,1.07,21,-3,13,10,19,0.48,0.05,1,-0.08,0.02,210,47
PM708,,E30 - D104,E30 - VF ACQUISITION D104,,,15,-2.2,51,77,0.16,0.71,21,-3,11,8,16,0.32,0.06,7,-0.02,0.03,172,47
PM709,,E30 - D172,E30 - VF SILVER BOW D172,,,13,-0.9,63,99,0.23,1.02,21,-2,12,8,16,0.33,0.05,15,0.03,0.02,181,49
PM710,,E30 - D706,E30 - DOING RIGHT,,,13,-1.8,51,79,0.17,0.56,23,-4,10,7,16,0.29,0.06,5,-0.15,0.01,173,47
PM711,,E30 - 3036,E30 - WOOD EMMETT 3036,,,16,-2.7,51,75,0.15,0.84,20,-2,9,10,17,0.23,0.07,5,-0.12,0.02,176,45
PM712,,E30 - 2385,E30 - ODOHERTY   2385,,,13,-1.1,58,85,0.17,1.03,22,-4,7,8,16,0.19,0.05,5,-0.18,0,160,46
PM713,,E30 - 8355,E30 - FEDDES LIBERATION D108- 8355,,,13,-1.7,58,90,0.2,1.09,22,-4,9,8,17,0.46,0.08,15,-0.12,0.01,181,48
PM714,,E30 - 8269,E30 - FEDDES DEFENDER Y17-8269,,,14,-1.6,57,86,0.18,1.22,21,-4,12,8,17,0.44,0.05,3,-0.09,0.02,186,47
