Cow,Bull,Score,Traits_Met,PROS,PROS_Meets_Target,CED,CED_Meets_Target,BW,BW_Meets_Target,WW,WW_Meets_Target,YW,YW_Meets_Target,ADG,ADG_Meets_Target,DMI,DMI_Meets_Target,Milk,Milk_Meets_Target,ME,ME_Meets_Target,HPG,HPG_Meets_Target,CEM,CEM_Meets_Target,STAY,STAY_Meets_Target,Marb,Marb_Meets_Target,YG,YG_Meets_Target,CW,CW_Meets_Target,REA,REA_Meets_Target,FAT,FAT_Meets_Target,HB,HB_Meets_Target,GM,GM_Meets_Target
D10,Z124G,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",131,Yes,15,Yes,-3.1,Yes,50,No,77,No,0.17,No,0.28,Yes,24,No,-3,Yes,10,No,8,Yes,19,Yes,0.55,Yes,-0.11,Yes,9,No,0.33,Yes,0,Yes,78,Yes,53,Yes
F79,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",140,Yes,15,Yes,-3.8,Yes,58,No,90,No,0.2,No,0.43,Yes,27,No,-5,Yes,9,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,15,No,0.18,Yes,-0.01,Yes,84,Yes,56,Yes
G22,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,YG,REA,FAT,HB,GM",128,Yes,15,Yes,-3.8,Yes,58,No,86,No,0.17,No,0.39,Yes,31,Yes,-5,Yes,9,No,8,Yes,19,Yes,0.48,No,-0.08,Yes,14,No,0.21,Yes,-0.01,Yes,80,Yes,48,Yes
G65,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,YG,REA,FAT,HB,GM",130,Yes,15,Yes,-3.1,Yes,55,No,82,No,0.17,No,0.25,Yes,31,Yes,-7,Yes,9,No,9,Yes,19,Yes,0.47,No,-0.08,Yes,12,No,0.18,Yes,-0.01,Yes,82,Yes,48,Yes
H37,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",133,Yes,15,Yes,-3.6,Yes,58,No,90,No,0.2,No,0.49,Yes,25,No,-5,Yes,9,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,17,No,0.22,Yes,-0.01,Yes,77,Yes,56,Yes
H11,Z124G,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",124,Yes,16,Yes,-4.1,Yes,44,No,69,No,0.15,No,0.3,Yes,24,No,-3,Yes,10,No,8,Yes,18,Yes,0.57,Yes,-0.1,Yes,8,No,0.31,Yes,0,Yes,70,Yes,54,Yes
J27,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,GM",129,Yes,14,Yes,-3.1,Yes,55,No,82,No,0.17,No,0.41,Yes,33,Yes,-2,Yes,9,No,8,Yes,18,Yes,0.6,Yes,-0.13,Yes,12,No,0.29,Yes,-0.02,Yes,69,No,59,Yes
J05,D172,13,"PROS,CED,WW,YW,ADG,HPG,CEM,STAY,Marb,YG,REA,HB,GM",153,Yes,14,Yes,-2.2,No,68,Yes,112,Yes,0.28,Yes,0.92,No,24,No,-1,No,13,Yes,9,Yes,19,Yes,0.54,Yes,0.01,Yes,17,No,0.19,Yes,0.01,No,96,Yes,57,Yes
K67,1278J,13,"PROS,CED,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",139,Yes,14,Yes,-2.4,No,60,No,92,No,0.2,No,0.54,Yes,29,Yes,-5,Yes,10,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,16,No,0.2,Yes,-0.01,Yes,84,Yes,55,Yes
K72,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",138,Yes,15,Yes,-3.8,Yes,59,No,90,No,0.2,No,0.52,Yes,26,No,-7,Yes,10,No,8,Yes,18,Yes,0.51,Yes,-0.08,Yes,17,No,0.22,Yes,-0.02,Yes,83,Yes,55,Yes
K05,1278J,13,"PROS,CED,WW,YW,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",141,Yes,14,Yes,-2.8,No,66,Yes,100,Yes,0.21,No,0.61,No,28,No,-5,Yes,10,No,8,Yes,19,Yes,0.51,Yes,-0.07,Yes,19,No,0.24,Yes,-0.01,Yes,86,Yes,55,Yes
K56,1278J,13,"PROS,CED,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",135,Yes,14,Yes,-2.5,No,63,No,96,No,0.21,No,0.58,Yes,29,Yes,-4,Yes,9,No,8,Yes,18,Yes,0.52,Yes,-0.07,Yes,18,No,0.23,Yes,-0.01,Yes,80,Yes,56,Yes
L63,9191G,13,"PROS,CED,BW,WW,YW,Milk,HPG,CEM,Marb,YG,REA,HB,GM",146,Yes,15,Yes,-3.3,Yes,67,Yes,106,Yes,0.24,No,0.73,No,30,Yes,4,No,13,Yes,8,Yes,17,No,0.81,Yes,0.01,Yes,21,No,0.25,Yes,0.01,No,71,Yes,75,Yes
L66,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,FAT,HB,GM",124,Yes,15,Yes,-3.1,Yes,59,No,86,No,0.17,No,0.45,Yes,32,Yes,-6,Yes,9,No,8,Yes,18,Yes,0.54,Yes,-0.08,Yes,11,No,0.15,No,-0.02,Yes,77,Yes,47,Yes
L35,9191G,12,"PROS,CED,BW,DMI,Milk,ME,HPG,CEM,STAY,Marb,HB,GM",135,Yes,15,Yes,-3.7,Yes,50,No,77,No,0.17,No,0.28,Yes,32,Yes,-2,Yes,13,Yes,9,Yes,18,Yes,0.63,Yes,0.05,No,15,No,0.02,No,0.01,No,78,Yes,57,Yes
N46,9191G,12,"PROS,CED,BW,DMI,Milk,ME,HPG,CEM,STAY,Marb,HB,GM",141,Yes,18,Yes,-5.7,Yes,54,No,84,No,0.18,No,0.43,Yes,29,Yes,-3,Yes,13,Yes,10,Yes,18,Yes,0.64,Yes,0.06,No,14,No,-0.03,No,0.01,No,89,Yes,52,Yes
F81,1181J,12,"PROS,CED,BW,DMI,Milk,CEM,STAY,Marb,CW,FAT,HB,GM",141,Yes,16,Yes,-3.8,Yes,57,No,94,No,0.23,No,0.56,Yes,29,Yes,2,No,10,No,8,Yes,19,Yes,0.5,Yes,0.06,No,30,Yes,0.06,No,0,Yes,74,Yes,67,Yes
G11,1278J,12,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,FAT,HB,GM",130,Yes,16,Yes,-4.6,Yes,53,No,82,No,0.18,No,0.42,Yes,29,Yes,-5,Yes,9,No,9,Yes,17,No,0.52,Yes,-0.07,Yes,13,No,0.16,No,-0.01,Yes,76,Yes,54,Yes
G25,1181J,12,"PROS,CED,BW,YW,DMI,CEM,STAY,Marb,CW,FAT,HB,GM",149,Yes,15,Yes,-3,Yes,63,No,100,Yes,0.23,No,0.6,Yes,26,No,1,No,11,No,8,Yes,20,Yes,0.5,Yes,0.06,No,31,Yes,0.08,No,0,Yes,86,Yes,63,Yes
G29,1278J,12,"PROS,CED,BW,DMI,ME,CEM,Marb,YG,REA,FAT,HB,GM",121,Yes,15,Yes,-3.8,Yes,60,No,88,No,0.18,No,0.43,Yes,28,No,-5,Yes,9,No,8,Yes,17,No,0.5,Yes,-0.08,Yes,16,No,0.18,Yes,-0.02,Yes,70,Yes,50,Yes
G34,Z124G,12,"PROS,CED,BW,DMI,ME,STAY,Marb,YG,REA,FAT,HB,GM",125,Yes,15,Yes,-3.3,Yes,51,No,79,No,0.17,No,0.41,Yes,25,No,-2,Yes,10,No,7,No,18,Yes,0.56,Yes,-0.11,Yes,10,No,0.36,Yes,0,Yes,72,Yes,53,Yes
G60,Z124G,12,"PROS,CED,BW,DMI,CEM,STAY,Marb,YG,REA,FAT,HB,GM",140,Yes,15,Yes,-4.2,Yes,53,No,86,No,0.21,No,0.59,Yes,26,No,1,No,10,No,8,Yes,19,Yes,0.62,Yes,-0.1,Yes,14,No,0.38,Yes,0,Yes,75,Yes,65,Yes
G09,1278J,12,"PROS,CED,BW,DMI,ME,CEM,Marb,YG,REA,FAT,HB,GM",131,Yes,14,Yes,-3.3,Yes,59,No,91,No,0.2,No,0.51,Yes,28,No,-4,Yes,10,No,8,Yes,17,No,0.52,Yes,-0.07,Yes,17,No,0.19,Yes,-0.01,Yes,75,Yes,57,Yes
H62,1278J,12,"PROS,CED,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",131,Yes,14,Yes,-2.8,No,60,No,92,No,0.2,No,0.53,Yes,28,No,-4,Yes,9,No,8,Yes,18,Yes,0.52,Yes,-0.07,Yes,16,No,0.19,Yes,-0.01,Yes,77,Yes,54,Yes
H61,Z124G,12,"PROS,CED,BW,DMI,CEM,STAY,Marb,YG,REA,FAT,HB,GM",125,Yes,16,Yes,-4.3,Yes,50,No,77,No,0.17,No,0.42,Yes,26,No,-1,No,9,No,9,Yes,18,Yes,0.56,Yes,-0.11,Yes,11,No,0.35,Yes,0,Yes,71,Yes,54,Yes
H44,Z124G,12,"PROS,CED,BW,DMI,CEM,STAY,Marb,YG,REA,FAT,HB,GM",126,Yes,15,Yes,-3.4,Yes,50,No,78,No,0.17,No,0.44,Yes,25,No,0,No,10,No,8,Yes,18,Yes,0.56,Yes,-0.11,Yes,11,No,0.35,Yes,0,Yes,71,Yes,55,Yes
J33,9191G,12,"PROS,CED,BW,DMI,Milk,ME,HPG,CEM,STAY,Marb,HB,GM",141,Yes,17,Yes,-5.1,Yes,56,No,87,No,0.2,No,0.45,Yes,30,Yes,-2,Yes,13,Yes,9,Yes,18,Yes,0.75,Yes,0.06,No,12,No,0,No,0.02,No,80,Yes,61,Yes
J03,1278J,12,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,FAT,HB,GM",121,Yes,16,Yes,-4.3,Yes,54,No,79,No,0.15,No,0.31,Yes,30,Yes,-8,Yes,9,No,8,Yes,17,No,0.56,Yes,-0.07,Yes,9,No,0.11,No,-0.01,Yes,74,Yes,48,Yes
J51,1181J,12,"PROS,CED,BW,YW,HPG,CEM,STAY,Marb,CW,FAT,HB,GM",155,Yes,14,Yes,-3.1,Yes,61,No,102,Yes,0.26,No,0.72,No,26,No,1,No,12,Yes,8,Yes,19,Yes,0.55,Yes,0.06,No,31,Yes,0.06,No,0,Yes,83,Yes,72,Yes
J40,D172,12,"PROS,DMI,ME,HPG,CEM,STAY,Marb,YG,REA,FAT,HB,GM",148,Yes,13,No,-2.7,No,57,No,96,No,0.25,No,0.6,Yes,22,No,-2,Yes,13,Yes,8,Yes,19,Yes,0.54,Yes,-0.05,Yes,14,No,0.25,Yes,0,Yes,85,Yes,63,Yes
J65,1181J,12,"PROS,CED,WW,YW,Milk,STAY,Marb,YG,CW,REA,FAT,GM",147,Yes,14,Yes,-2.4,No,68,Yes,110,Yes,0.26,No,0.87,No,31,Yes,5,No,10,No,7,No,18,Yes,0.62,Yes,0.01,Yes,38,Yes,0.28,Yes,-0.01,Yes,66,No,80,Yes
J61,1278J,12,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,FAT,GM",122,Yes,15,Yes,-3.9,Yes,53,No,79,No,0.16,No,0.36,Yes,30,Yes,-6,Yes,9,No,8,Yes,16,No,0.59,Yes,-0.13,Yes,14,No,0.3,Yes,-0.02,Yes,62,No,60,Yes
J04,D172,12,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,YG,HB,GM",137,Yes,15,Yes,-3.5,Yes,54,No,89,No,0.22,No,0.54,Yes,19,No,-3,Yes,13,Yes,8,Yes,18,Yes,0.54,Yes,-0.01,Yes,9,No,0.09,No,0.01,No,82,Yes,54,Yes
J46,D172,12,"PROS,CED,BW,YW,HPG,CEM,Marb,YG,REA,FAT,HB,GM",141,Yes,14,Yes,-3,Yes,63,No,105,Yes,0.27,No,0.84,No,21,No,-1,No,14,Yes,8,Yes,17,No,0.56,Yes,-0.01,Yes,16,No,0.17,Yes,0,Yes,81,Yes,60,Yes
J41,1278J,12,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,FAT,GM",118,Yes,16,Yes,-4.7,Yes,55,No,83,No,0.17,No,0.46,Yes,29,Yes,-7,Yes,9,No,8,Yes,15,No,0.62,Yes,-0.1,Yes,11,No,0.17,Yes,-0.02,Yes,61,No,56,Yes
K30,1278J,12,"PROS,CED,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",134,Yes,14,Yes,-2.7,No,57,No,89,No,0.2,No,0.46,Yes,28,No,-6,Yes,9,No,8,Yes,18,Yes,0.51,Yes,-0.07,Yes,15,No,0.17,Yes,-0.02,Yes,79,Yes,55,Yes
K11,D172,12,"PROS,CED,BW,YW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",139,Yes,14,Yes,-3.2,Yes,60,No,101,Yes,0.25,No,0.74,No,18,No,-2,Yes,13,Yes,8,Yes,17,No,0.56,Yes,-0.01,Yes,14,No,0.16,No,0,Yes,79,Yes,60,Yes
L06,D172,12,"PROS,CED,BW,YW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",132,Yes,15,Yes,-3.5,Yes,62,No,102,Yes,0.25,No,0.82,No,21,No,-2,Yes,13,Yes,8,Yes,16,No,0.61,Yes,-0.03,Yes,13,No,0.16,No,0,Yes,72,Yes,60,Yes
L28,8269,12,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,HB,GM",121,Yes,15,Yes,-3,Yes,58,No,87,No,0.18,No,0.5,Yes,28,No,-3,Yes,11,No,8,Yes,18,Yes,0.6,Yes,-0.05,Yes,6,No,0.19,Yes,0.01,No,75,Yes,47,Yes
L29,D172,12,"PROS,CED,BW,ME,HPG,CEM,Marb,YG,REA,FAT,HB,GM",133,Yes,14,Yes,-3,Yes,57,No,96,No,0.24,No,0.7,No,22,No,-2,Yes,13,Yes,8,Yes,16,No,0.6,Yes,-0.04,Yes,13,No,0.19,Yes,0,Yes,72,Yes,62,Yes
L44,8269,12,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,HB,GM",120,Yes,16,Yes,-4,Yes,56,No,85,No,0.18,No,0.5,Yes,30,Yes,-3,Yes,11,No,8,Yes,18,Yes,0.61,Yes,0.02,Yes,7,No,-0.01,No,0.01,No,73,Yes,48,Yes
L58,D172,12,"PROS,CED,BW,YW,HPG,CEM,STAY,Marb,YG,REA,HB,GM",149,Yes,15,Yes,-3.4,Yes,59,No,100,Yes,0.26,No,0.7,No,21,No,0,No,13,Yes,9,Yes,18,Yes,0.6,Yes,-0.04,Yes,16,No,0.3,Yes,0.01,No,81,Yes,67,Yes
L60,9191G,12,"PROS,CED,BW,DMI,Milk,HPG,CEM,Marb,YG,REA,HB,GM",146,Yes,16,Yes,-4.9,Yes,58,No,93,No,0.22,No,0.6,Yes,30,Yes,1,No,13,Yes,9,Yes,17,No,0.82,Yes,0.01,Yes,17,No,0.19,Yes,0.02,No,73,Yes,74,Yes
L64,D172,12,"PROS,CED,BW,YW,HPG,CEM,STAY,Marb,YG,REA,HB,GM",150,Yes,15,Yes,-3.8,Yes,58,No,100,Yes,0.26,No,0.82,No,23,No,1,No,13,Yes,9,Yes,18,Yes,0.6,Yes,-0.04,Yes,18,No,0.31,Yes,0.01,No,81,Yes,70,Yes
L88,D172,12,"PROS,CED,BW,YW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",132,Yes,14,Yes,-3,Yes,61,No,100,Yes,0.24,No,0.76,No,21,No,-3,Yes,13,Yes,8,Yes,17,No,0.6,Yes,-0.03,Yes,12,No,0.15,No,0,Yes,75,Yes,57,Yes
K06,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",137,Yes,16,Yes,-4.6,Yes,47,No,73,No,0.17,No,0.15,Yes,26,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.62,Yes,0.05,No,10,No,-0.05,No,0.01,No,84,Yes,54,Yes
L10,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",155,Yes,16,Yes,-3.7,Yes,51,No,79,No,0.17,No,0.16,Yes,25,No,-4,Yes,13,Yes,9,Yes,20,Yes,0.64,Yes,0.06,No,12,No,-0.03,No,0.01,No,99,Yes,56,Yes
C16,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",154,Yes,16,Yes,-4.4,Yes,55,No,84,No,0.18,No,0.28,Yes,25,No,-2,Yes,13,Yes,9,Yes,21,Yes,0.62,Yes,0.06,No,12,No,-0.03,No,0.01,No,103,Yes,50,Yes
C19,Z124G,11,"PROS,CED,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",118,Yes,14,Yes,-2.4,No,57,No,85,No,0.18,No,0.53,Yes,30,Yes,-1,No,9,No,7,No,19,Yes,0.5,Yes,-0.11,Yes,14,No,0.34,Yes,-0.01,Yes,70,Yes,47,Yes
C66,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",139,Yes,17,Yes,-4.9,Yes,55,No,85,No,0.19,No,0.36,Yes,26,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.63,Yes,0.06,No,12,No,-0.04,No,0.01,No,88,Yes,51,Yes
C12,9191G,11,"PROS,CED,BW,DMI,Milk,HPG,CEM,STAY,Marb,HB,GM",139,Yes,16,Yes,-3.7,Yes,59,No,89,No,0.19,No,0.45,Yes,31,Yes,1,No,13,Yes,8,Yes,20,Yes,0.62,Yes,0.06,No,13,No,-0.03,No,0.01,No,91,Yes,49,Yes
C14,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",146,Yes,16,Yes,-4.4,Yes,54,No,85,No,0.19,No,0.22,Yes,23,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.63,Yes,0.06,No,12,No,-0.04,No,0.01,No,91,Yes,55,Yes
C28,Z124G,11,"PROS,CED,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",123,Yes,14,Yes,-2.8,No,53,No,81,No,0.18,No,0.46,Yes,29,Yes,0,No,9,No,7,No,19,Yes,0.51,Yes,-0.12,Yes,15,No,0.37,Yes,-0.01,Yes,71,Yes,52,Yes
C17,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",152,Yes,16,Yes,-4.5,Yes,58,No,90,No,0.2,No,0.4,Yes,26,No,-2,Yes,13,Yes,10,Yes,20,Yes,0.65,Yes,0.06,No,15,No,0,No,0.01,No,96,Yes,56,Yes
D23,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",149,Yes,17,Yes,-4.9,Yes,50,No,79,No,0.18,No,0.32,Yes,26,No,-2,Yes,14,Yes,10,Yes,19,Yes,0.69,Yes,0.07,No,10,No,-0.03,No,0.02,No,93,Yes,57,Yes
