Cow,Bull,Score,Traits_Met,PROS,PROS_Meets_Target,CED,CED_Meets_Target,BW,BW_Meets_Target,WW,WW_Meets_Target,YW,YW_Meets_Target,ADG,ADG_Meets_Target,DMI,DMI_Meets_Target,Milk,Milk_Meets_Target,ME,ME_Meets_Target,HPG,HPG_Meets_Target,CEM,CEM_Meets_Target,STAY,STAY_Meets_Target,Marb,Marb_Meets_Target,YG,YG_Meets_Target,CW,CW_Meets_Target,REA,REA_Meets_Target,FAT,FAT_Meets_Target,HB,HB_Meets_Target,GM,GM_Meets_Target
E30,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",147,Yes,16,Yes,-4.2,Yes,53,No,83,No,0.18,No,0.31,Yes,27,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.62,Yes,0.06,No,15,No,-0.01,No,0.01,No,92,Yes,55,Yes
E59,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",149,Yes,15,Yes,-3.1,Yes,57,No,89,No,0.2,No,0.37,Yes,27,No,-2,Yes,13,Yes,9,Yes,20,Yes,0.62,Yes,0.06,No,17,No,0.02,No,0.01,No,92,Yes,56,Yes
F08,1181J,11,"PROS,WW,YW,ADG,HPG,STAY,Marb,CW,FAT,HB,GM",161,Yes,13,No,-1.5,No,68,Yes,113,Yes,0.28,Yes,0.8,No,25,No,1,No,12,Yes,7,No,20,Yes,0.55,Yes,0.07,No,35,Yes,0.12,No,0,Yes,87,Yes,74,Yes
F19,D172,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,YG,HB,GM",138,Yes,16,Yes,-3.5,Yes,50,No,83,No,0.21,No,0.42,Yes,20,No,-4,Yes,14,Yes,10,Yes,18,Yes,0.41,No,0.01,Yes,13,No,0.11,No,0.01,No,89,Yes,49,Yes
F21,9191G,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,HB,GM",152,Yes,15,Yes,-4.2,Yes,58,No,92,No,0.21,No,0.41,Yes,25,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.7,Yes,0.06,No,15,No,0.02,No,0.02,No,90,Yes,62,Yes
G10,D172,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,YG,HB,GM",138,Yes,15,Yes,-3.3,Yes,52,No,89,No,0.23,No,0.48,Yes,22,No,-2,Yes,13,Yes,9,Yes,19,Yes,0.41,No,0.01,Yes,13,No,0.11,No,0.01,No,86,Yes,52,Yes
G35,Z124G,11,"PROS,CED,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",125,Yes,14,Yes,-2.5,No,58,No,87,No,0.18,No,0.6,Yes,32,Yes,0,No,9,No,6,No,21,Yes,0.51,Yes,-0.12,Yes,13,No,0.35,Yes,-0.01,Yes,79,Yes,46,Yes
H50,9191G,11,"PROS,CED,BW,DMI,Milk,HPG,CEM,STAY,Marb,HB,GM",146,Yes,16,Yes,-4.1,Yes,59,No,94,No,0.22,No,0.48,Yes,29,Yes,0,No,13,Yes,9,Yes,18,Yes,0.7,Yes,0.06,No,17,No,0.09,No,0.02,No,81,Yes,65,Yes
H26,Z124G,11,"PROS,CED,BW,DMI,STAY,Marb,YG,REA,FAT,HB,GM",127,Yes,15,Yes,-3.1,Yes,55,No,85,No,0.18,No,0.55,Yes,28,No,0,No,10,No,7,No,19,Yes,0.56,Yes,-0.11,Yes,12,No,0.39,Yes,0,Yes,74,Yes,53,Yes
H42,1181J,11,"PROS,CED,BW,WW,YW,STAY,Marb,CW,FAT,HB,GM",141,Yes,15,Yes,-3.2,Yes,65,Yes,105,Yes,0.25,No,0.73,No,27,No,1,No,11,No,7,No,18,Yes,0.61,Yes,0.07,No,29,Yes,0.05,No,0,Yes,72,Yes,69,Yes
J76,1278J,11,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,FAT,GM",127,Yes,14,Yes,-3.2,Yes,53,No,79,No,0.16,No,0.27,Yes,31,Yes,-7,Yes,10,No,8,Yes,15,No,0.6,Yes,-0.05,Yes,17,No,0.14,No,-0.02,Yes,64,No,63,Yes
J45,9191G,11,"PROS,CED,BW,Milk,HPG,CEM,Marb,YG,REA,HB,GM",149,Yes,15,Yes,-3.9,Yes,62,No,98,No,0.22,No,0.63,No,31,Yes,1,No,14,Yes,8,Yes,17,No,0.82,Yes,0.01,Yes,20,No,0.23,Yes,0.02,No,74,Yes,75,Yes
J80,D172,11,"PROS,CED,BW,ME,HPG,CEM,STAY,Marb,YG,HB,GM",139,Yes,15,Yes,-3.2,Yes,60,No,98,No,0.24,No,0.7,No,21,No,-3,Yes,13,Yes,8,Yes,18,Yes,0.53,Yes,-0.02,Yes,12,No,0.14,No,0.01,No,86,Yes,53,Yes
K32,1278J,11,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,FAT,GM",125,Yes,15,Yes,-3.4,Yes,52,No,78,No,0.16,No,0.26,Yes,31,Yes,-7,Yes,10,No,8,Yes,15,No,0.6,Yes,-0.05,Yes,17,No,0.13,No,-0.02,Yes,61,No,64,Yes
K82,1181J,11,"PROS,CED,BW,WW,YW,STAY,Marb,CW,FAT,HB,GM",137,Yes,15,Yes,-3,Yes,65,Yes,105,Yes,0.25,No,0.69,No,26,No,2,No,11,No,7,No,18,Yes,0.5,Yes,0.06,No,33,Yes,0.11,No,0,Yes,72,Yes,65,Yes
K69,D172,11,"PROS,CED,WW,YW,HPG,CEM,STAY,YG,REA,HB,GM",134,Yes,14,Yes,-2.4,No,70,Yes,112,Yes,0.26,No,0.97,No,25,No,1,No,13,Yes,8,Yes,18,Yes,0.49,No,0.01,Yes,19,No,0.18,Yes,0.01,No,84,Yes,50,Yes
K68,1181J,11,"PROS,CED,BW,YW,Milk,CEM,STAY,Marb,FAT,HB,GM",140,Yes,15,Yes,-3.2,Yes,63,No,102,Yes,0.24,No,0.69,No,31,Yes,1,No,10,No,8,Yes,18,Yes,0.6,Yes,0.07,No,28,No,0.05,No,0,Yes,73,Yes,68,Yes
K65,1278J,11,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,FAT,GM",117,No,17,Yes,-4.8,Yes,56,No,82,No,0.16,No,0.44,Yes,31,Yes,-7,Yes,9,No,8,Yes,16,No,0.59,Yes,-0.1,Yes,10,No,0.17,Yes,-0.02,Yes,67,No,50,Yes
K03B,D172,11,"PROS,CED,BW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",131,Yes,14,Yes,-3.2,Yes,60,No,99,No,0.24,No,0.69,No,20,No,-2,Yes,13,Yes,8,Yes,17,No,0.55,Yes,-0.01,Yes,12,No,0.11,No,0,Yes,76,Yes,55,Yes
L09,D172,11,"PROS,CED,BW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",134,Yes,15,Yes,-4,Yes,60,No,97,No,0.24,No,0.73,No,22,No,-2,Yes,13,Yes,8,Yes,17,No,0.58,Yes,-0.01,Yes,12,No,0.14,No,0,Yes,78,Yes,56,Yes
L12,8269,11,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,HB,GM",117,No,15,Yes,-3.6,Yes,56,No,84,No,0.18,No,0.58,Yes,30,Yes,-3,Yes,11,No,8,Yes,17,No,0.61,Yes,-0.05,Yes,5,No,0.18,Yes,0.01,No,72,Yes,46,Yes
L20,D172,11,"PROS,WW,YW,ME,HPG,CEM,Marb,YG,REA,HB,GM",139,Yes,13,No,-1.9,No,68,Yes,112,Yes,0.27,No,0.93,No,23,No,-2,Yes,13,Yes,8,Yes,17,No,0.6,Yes,-0.01,Yes,16,No,0.19,Yes,0.01,No,80,Yes,59,Yes
L22,D172,11,"PROS,CED,YW,ME,HPG,CEM,Marb,YG,FAT,HB,GM",133,Yes,14,Yes,-2.3,No,64,No,104,Yes,0.25,No,0.78,No,20,No,-2,Yes,13,Yes,8,Yes,17,No,0.55,Yes,-0.01,Yes,14,No,0.14,No,0,Yes,77,Yes,56,Yes
L33,1181J,11,"PROS,WW,YW,ADG,CEM,STAY,Marb,CW,FAT,HB,GM",151,Yes,13,No,-1.9,No,66,Yes,110,Yes,0.28,Yes,0.8,No,25,No,3,No,11,No,8,Yes,19,Yes,0.55,Yes,0.07,No,35,Yes,0.11,No,0,Yes,77,Yes,74,Yes
L49,1278J,11,"PROS,CED,YW,Milk,ME,CEM,Marb,YG,REA,FAT,GM",138,Yes,14,Yes,-2.5,No,64,No,101,Yes,0.23,No,0.63,No,30,Yes,-2,Yes,10,No,8,Yes,17,No,0.62,Yes,-0.04,Yes,25,No,0.19,Yes,-0.02,Yes,68,No,71,Yes
L61,9191G,11,"PROS,CED,BW,DMI,Milk,ME,HPG,CEM,Marb,HB,GM",141,Yes,18,Yes,-5.8,Yes,53,No,85,No,0.2,No,0.38,Yes,29,Yes,-2,Yes,13,Yes,10,Yes,17,No,0.78,Yes,0.07,No,10,No,-0.01,No,0.02,No,76,Yes,65,Yes
L70,1181J,11,"PROS,WW,YW,Milk,STAY,Marb,YG,CW,REA,FAT,GM",139,Yes,13,No,-1.8,No,66,Yes,107,Yes,0.26,No,0.82,No,30,Yes,5,No,11,No,6,No,18,Yes,0.62,Yes,0.01,Yes,33,Yes,0.22,Yes,-0.01,Yes,63,No,76,Yes
L73,1278J,11,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,FAT,GM",116,No,15,Yes,-3.4,Yes,57,No,85,No,0.17,No,0.48,Yes,32,Yes,-5,Yes,9,No,8,Yes,15,No,0.65,Yes,-0.12,Yes,11,No,0.24,Yes,-0.02,Yes,58,No,58,Yes
L94,1181J,11,"PROS,CED,WW,YW,Milk,STAY,Marb,CW,FAT,HB,GM",157,Yes,14,Yes,-2.7,No,67,Yes,110,Yes,0.27,No,0.84,No,29,Yes,4,No,11,No,7,No,19,Yes,0.6,Yes,0.1,No,41,Yes,0.05,No,-0.01,Yes,77,Yes,80,Yes
N56,Z124G,10,"PROS,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",128,Yes,11,No,-0.4,No,57,No,86,No,0.19,No,0.52,Yes,31,Yes,0,No,9,No,5,No,21,Yes,0.52,Yes,-0.12,Yes,13,No,0.38,Yes,-0.01,Yes,77,Yes,51,Yes
A60,Z124G,10,"PROS,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",126,Yes,13,No,-1.4,No,54,No,82,No,0.18,No,0.48,Yes,31,Yes,1,No,9,No,7,No,20,Yes,0.52,Yes,-0.12,Yes,13,No,0.36,Yes,-0.01,Yes,76,Yes,50,Yes
C47,Z124G,10,"PROS,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",125,Yes,12,No,-1.4,No,55,No,84,No,0.19,No,0.54,Yes,31,Yes,2,No,9,No,6,No,20,Yes,0.51,Yes,-0.12,Yes,15,No,0.38,Yes,-0.01,Yes,72,Yes,53,Yes
C32,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",121,Yes,14,Yes,-2.2,No,57,No,83,No,0.16,No,0.46,Yes,29,Yes,-2,Yes,10,No,8,Yes,22,Yes,0.39,No,-0.01,Yes,4,No,-0.01,No,0,Yes,96,Yes,25,No
D19,Z124G,10,"PROS,CED,BW,DMI,CEM,Marb,YG,REA,FAT,GM",120,Yes,15,Yes,-3,Yes,50,No,78,No,0.18,No,0.42,Yes,27,No,-1,No,9,No,8,Yes,17,No,0.56,Yes,-0.11,Yes,11,No,0.36,Yes,0,Yes,66,No,55,Yes
E29,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",120,Yes,14,Yes,-2.2,No,53,No,77,No,0.15,No,0.38,Yes,29,Yes,-6,Yes,11,No,8,Yes,21,Yes,0.4,No,-0.01,Yes,2,No,-0.04,No,0,Yes,96,Yes,24,No
F06,Z124G,10,"PROS,DMI,Milk,STAY,Marb,YG,REA,FAT,HB,GM",126,Yes,12,No,-1.6,No,57,No,87,No,0.19,No,0.54,Yes,29,Yes,0,No,9,No,6,No,20,Yes,0.52,Yes,-0.12,Yes,14,No,0.36,Yes,-0.01,Yes,75,Yes,51,Yes
F83,8269,10,"CED,BW,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",107,No,15,Yes,-3.3,Yes,57,No,82,No,0.16,No,0.48,Yes,31,Yes,-2,Yes,10,No,8,Yes,19,Yes,0.4,No,-0.01,Yes,6,No,0,No,0,Yes,81,Yes,26,No
G07,Z124G,10,"PROS,CED,DMI,ME,STAY,Marb,YG,REA,FAT,GM",124,Yes,14,Yes,-2.7,No,50,No,77,No,0.17,No,0.36,Yes,21,No,-2,Yes,10,No,7,No,18,Yes,0.57,Yes,-0.1,Yes,10,No,0.35,Yes,0,Yes,68,No,56,Yes
H86,Z124G,10,"PROS,CED,DMI,STAY,Marb,YG,REA,FAT,HB,GM",124,Yes,14,Yes,-1.8,No,57,No,87,No,0.19,No,0.51,Yes,26,No,-1,No,10,No,7,No,18,Yes,0.56,Yes,-0.11,Yes,12,No,0.38,Yes,0,Yes,71,Yes,53,Yes
H15,D172,10,"PROS,CED,YW,ME,HPG,CEM,STAY,YG,HB,GM",139,Yes,14,Yes,-2.5,No,61,No,100,Yes,0.25,No,0.69,No,16,No,-2,Yes,13,Yes,8,Yes,19,Yes,0.44,No,0.01,Yes,15,No,0.1,No,0.01,No,89,Yes,50,Yes
H59,9191G,10,"PROS,CED,BW,DMI,HPG,CEM,STAY,Marb,HB,GM",149,Yes,16,Yes,-4.2,Yes,59,No,94,No,0.22,No,0.46,Yes,21,No,0,No,13,Yes,9,Yes,19,Yes,0.7,Yes,0.06,No,16,No,0.03,No,0.02,No,86,Yes,63,Yes
H31,9191G,10,"PROS,CED,BW,DMI,HPG,CEM,STAY,Marb,HB,GM",148,Yes,17,Yes,-5,Yes,54,No,85,No,0.2,No,0.35,Yes,23,No,-1,No,14,Yes,10,Yes,19,Yes,0.7,Yes,0.07,No,10,No,0.01,No,0.03,No,90,Yes,58,Yes
H70,Z124G,10,"PROS,CED,DMI,STAY,Marb,YG,REA,FAT,HB,GM",122,Yes,14,Yes,-2.9,No,53,No,81,No,0.18,No,0.47,Yes,26,No,0,No,9,No,7,No,19,Yes,0.55,Yes,-0.11,Yes,12,No,0.34,Yes,0,Yes,70,Yes,53,Yes
J62,1181J,10,"PROS,CED,WW,YW,CEM,Marb,CW,FAT,HB,GM",137,Yes,14,Yes,-2.9,No,65,Yes,105,Yes,0.25,No,0.73,No,23,No,1,No,11,No,8,Yes,17,No,0.52,Yes,0.07,No,33,Yes,0.05,No,-0.01,Yes,71,Yes,66,Yes
K60,8269,10,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,FAT,HB",115,No,15,Yes,-3.5,Yes,52,No,79,No,0.17,No,0.42,Yes,29,Yes,-3,Yes,11,No,7,No,18,Yes,0.58,Yes,0.02,Yes,4,No,-0.08,No,0,Yes,71,Yes,44,No
K51,1181J,10,"PROS,CED,YW,CEM,STAY,Marb,CW,FAT,HB,GM",146,Yes,14,Yes,-2.6,No,59,No,101,Yes,0.26,No,0.66,No,23,No,2,No,11,No,8,Yes,18,Yes,0.55,Yes,0.07,No,32,Yes,0.06,No,0,Yes,71,Yes,76,Yes
K38B,D172,10,"PROS,WW,YW,HPG,CEM,STAY,Marb,YG,HB,GM",151,Yes,13,No,-1.8,No,65,Yes,108,Yes,0.27,No,0.84,No,24,No,1,No,13,Yes,8,Yes,19,Yes,0.54,Yes,0.03,Yes,21,No,0.1,No,0.01,No,91,Yes,60,Yes
K86,1181J,10,"PROS,CED,WW,YW,STAY,Marb,CW,FAT,HB,GM",139,Yes,14,Yes,-1.6,No,68,Yes,110,Yes,0.26,No,0.67,No,25,No,3,No,11,No,7,No,19,Yes,0.5,Yes,0.06,No,32,Yes,0.09,No,0,Yes,74,Yes,66,Yes
K34,D172,10,"PROS,WW,YW,HPG,CEM,STAY,Marb,YG,HB,GM",148,Yes,12,No,-1.9,No,65,Yes,108,Yes,0.27,No,0.85,No,23,No,2,No,13,Yes,8,Yes,19,Yes,0.54,Yes,0.03,Yes,21,No,0.13,No,0.01,No,85,Yes,63,Yes
K52,9191G,10,"PROS,CED,BW,DMI,HPG,CEM,Marb,YG,REA,GM",151,Yes,16,Yes,-5,Yes,53,No,90,No,0.23,No,0.51,Yes,26,No,1,No,14,Yes,9,Yes,16,No,0.87,Yes,0.02,Yes,15,No,0.17,Yes,0.02,No,69,No,81,Yes
K40,D172,10,"PROS,CED,BW,ME,HPG,CEM,Marb,YG,HB,GM",131,Yes,15,Yes,-3.2,Yes,57,No,94,No,0.23,No,0.62,No,18,No,-3,Yes,13,Yes,8,Yes,17,No,0.53,Yes,-0.01,Yes,11,No,0.11,No,0.01,No,77,Yes,53,Yes
L31,D172,10,"PROS,YW,HPG,CEM,Marb,YG,REA,FAT,HB,GM",136,Yes,13,No,-2,No,63,No,104,Yes,0.26,No,0.81,No,23,No,0,No,13,Yes,8,Yes,17,No,0.61,Yes,-0.04,Yes,15,No,0.24,Yes,0,Yes,73,Yes,62,Yes
L32,1181J,10,"PROS,CED,WW,YW,ADG,CEM,Marb,CW,FAT,GM",159,Yes,14,Yes,-2.7,No,67,Yes,114,Yes,0.29,Yes,0.82,No,24,No,5,No,11,No,8,Yes,17,No,0.64,Yes,0.1,No,43,Yes,0.09,No,0,Yes,68,No,91,Yes
L78,Z124G,10,"CED,BW,DMI,Milk,CEM,Marb,YG,REA,FAT,GM",114,No,15,Yes,-3.6,Yes,56,No,86,No,0.19,No,0.57,Yes,29,Yes,-1,No,10,No,8,Yes,15,No,0.66,Yes,-0.11,Yes,13,No,0.4,Yes,0,Yes,54,No,61,Yes
D29,Z124G,9,"PROS,CED,DMI,STAY,Marb,YG,REA,FAT,GM",119,Yes,14,Yes,-2.5,No,52,No,81,No,0.18,No,0.43,Yes,26,No,-1,No,9,No,7,No,18,Yes,0.56,Yes,-0.11,Yes,11,No,0.36,Yes,0,Yes,64,No,55,Yes
J10,1181J,9,"PROS,CED,BW,DMI,STAY,Marb,CW,FAT,GM",133,Yes,15,Yes,-3.9,Yes,57,No,95,No,0.23,No,0.55,Yes,26,No,1,No,11,No,7,No,18,Yes,0.5,Yes,0.06,No,29,Yes,0.05,No,0,Yes,67,No,66,Yes
K59,8269,9,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,HB",101,No,15,Yes,-3.5,Yes,55,No,80,No,0.16,No,0.47,Yes,32,Yes,-3,Yes,10,No,8,Yes,17,No,0.52,Yes,-0.01,Yes,1,No,-0.02,No,0.01,No,70,Yes,32,No
K21,9191G,9,"PROS,CED,BW,DMI,HPG,CEM,Marb,HB,GM",139,Yes,16,Yes,-4.8,Yes,52,No,84,No,0.2,No,0.31,Yes,27,No,-1,No,13,Yes,9,Yes,17,No,0.69,Yes,0.06,No,13,No,0.03,No,0.02,No,76,Yes,63,Yes
K25,8269,9,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,HB",103,No,15,Yes,-3.5,Yes,58,No,83,No,0.16,No,0.48,Yes,29,Yes,-5,Yes,10,No,7,No,18,Yes,0.52,Yes,-0.01,Yes,0,No,-0.04,No,0.01,No,73,Yes,30,No
K75,1181J,8,"PROS,CED,YW,DMI,Marb,CW,FAT,GM",125,Yes,14,Yes,-2,No,61,No,100,Yes,0.24,No,0.58,Yes,26,No,2,No,11,No,6,No,17,No,0.5,Yes,0.06,No,30,Yes,0.06,No,0,Yes,58,No,66,Yes
K43,8269,8,"CED,BW,DMI,ME,STAY,Marb,YG,HB",106,No,15,Yes,-3.2,Yes,59,No,86,No,0.17,No,0.59,Yes,28,No,-4,Yes,10,No,7,No,18,Yes,0.52,Yes,0,Yes,3,No,0,No,0.01,No,73,Yes,33,No
K87,1181J,8,"PROS,WW,YW,STAY,Marb,CW,FAT,GM",131,Yes,13,No,-1.2,No,69,Yes,110,Yes,0.26,No,0.81,No,28,No,4,No,10,No,7,No,18,Yes,0.57,Yes,0.06,No,30,Yes,0.05,No,0,Yes,67,No,64,Yes
